activity_name,instruction
picking_up_baggage,Pick up baggage.
picking_up_books_at_library,Pick up books at the library.
picking_up_clothes,Pick up clothes.
picking_up_litter,Pick up litter.
picking_up_prescriptions,Pick up prescriptions.
picking_up_take_out_food,Pick up take out food.
picking_up_toys,Pick up toys.
picking_up_trash,Pick up trash.
picking_vegetables_in_garden,Pick vegetables in garden.
place_houseplants_around_your_home,Place houseplants around your home.
planting_flowers,Plant flowers.
planting_plants,Plant plants.
planting_trees,Plant trees.
planting_vegetables,Plant vegetables.
polish_a_car,Polish a car.
polish_copper,Polish copper.
polish_cymbals,Polish cymbals.
polish_gold,Polish gold.
polish_pewter,Polish pewter.
polish_rocks,Polish rocks.
polish_wood_floors,Polish wood floors.
polishing_furniture,Polish furniture.
polishing_shoes,Polish shoes.
polishing_silver,Polish silver.
pour_a_glass_of_wine,Pour a glass of wine.
pour_beer,Pour beer.
pouring_water_in_a_glass,Pour water in a glass.
prepare_a_boat_for_fishing,Prepare a boat for fishing.
prepare_a_breakfast_bar,Prepare a breakfast bar.
prepare_a_filling_breakfast,Prepare a filling breakfast.
prepare_a_hanging_basket,Prepare a hanging basket.
prepare_a_raised_bed_garden,Prepare a raised bed garden.
prepare_a_slow_dinner_party,Prepare a slow dinner party.
prepare_an_emergency_school_kit,Prepare an emergency school kit.
prepare_and_cook_prawns,Prepare and cook prawns.
prepare_and_cook_swiss_chard,Prepare and cook Swiss chard.
prepare_baking_pans,Prepare baking pans.
prepare_make_ahead_breakfast_bowls,Prepare make ahead breakfast bowls.
prepare_quinoa,Prepare quinoa.
prepare_sea_salt_soak,Prepare sea salt soak.
prepare_wine_and_cheese,Prepare wine and cheese.
prepare_your_garden_for_a_cat,Prepare your garden for a cat.
prepare_your_garden_for_winter,Prepare your garden for winter.
preparing_clothes_for_the_next_day,Prepare clothes for the next day.
preparing_existing_coffee,Prepare existing coffee.
preparing_food_for_a_fundraiser,Prepare food for a fundraiser.
preparing_food_for_adult,Prepare food for adult.
preparing_food_for_company,Prepare food for company.
preparing_food_or_drink_for_sale,Prepare food or drink for sale.
preparing_lunch_box,Prepare lunch box.
preserving_fruit,Preserve fruit.
preserving_meat,Preserve meat.
preserving_vegetables,Preserve vegetables.
put_together_a_basic_pruning_kit,Put together a basic pruning kit.
put_together_a_goodie_bag,Put together a goodie bag.
put_together_a_scrapping_tool_kit,Put together a scrapping tool kit.
putting_away_Christmas_decorations,Put away Christmas decorations.
putting_away_Halloween_decorations,Put away Halloween decorations.
putting_away_bicycles,Put away bicycles.
putting_away_cleaning_supplies,Put away cleaning supplies.
putting_away_games,Put away games.
putting_away_purchased_clothes,Put away purchased clothes.
putting_away_tools,Put away tools.
putting_away_toys,Put away toys.
putting_away_yard_equipment,Put away yard equipment.
putting_backpack_in_car_for_school,Put backpack in the car for school.
putting_bike_in_garage,Put bike in the garage.
putting_birdseed_in_cage,Put birdseed in the cage.
putting_clean_laundry_away,Put clean laundry away.
putting_clothes_in_storage,Put clothes in storage.
putting_clothes_into_closet,Put clothes into the closet.
putting_dirty_dishes_in_sink,Put dirty dishes in sink.
putting_dishes_away_after_cleaning,Put dishes away after cleaning.
putting_food_in_fridge,Put food in the fridge.
putting_in_a_hot_tub,Put in a hot tub.
putting_laundry_in_drawer,Put laundry in the drawer.
putting_leftovers_away,Put leftovers away.
putting_meal_in_fridge_at_work,Put meal in the fridge at work.
putting_meal_on_plate,Put meal on plate.
putting_on_license_plates,Put on license plates.
putting_on_registration_stickers,Put on registration stickers.
putting_on_tags_car,Put on tags car.
putting_out_cat_food,Put out cat food.
putting_out_clean_towels,Put out clean towels.
putting_out_condiments,Put out condiments.
putting_out_dog_food,Put out dog food.
putting_pesticides_on_lawn,Put pesticides on the lawn.
putting_protective_cover_on_vehicle,Put protective cover on the vehicle.
putting_roast_in_oven,Put roast in the oven.
putting_shoes_on_rack,Put shoes on the rack.
putting_shopping_away,Put shopping away.
putting_tablecloth_on_table,Put tablecloth on table.
putting_towels_in_bathroom,Put towels in the bathroom.
putting_up_Christmas_decorations_inside,Put up Christmas decorations inside.
putting_up_Christmas_decorations_outside,Put up Christmas decorations outside.
putting_up_Christmas_lights_inside,Put up Christmas lights inside.
putting_up_Christmas_lights_outside,Put up Christmas lights outside.
putting_up_outdoor_holiday_decorations,Put up outdoor holiday decorations.
putting_up_posters,Put up posters.
putting_up_shelves,Put up shelves.
putting_wood_in_fireplace,Put wood in the fireplace.
raking_leaves,Rake leaves.
re_shelving_library_books,Reshelve library books.
rearrange_your_room,Rearrange your room.
rearranging_furniture,Rearrange furniture.
rearranging_kitchen_furniture,Rearrange kitchen furniture.
recycling_glass_bottles,Recycle glass bottles.
recycling_newspapers,Recycle newspapers.
recycling_office_papers,Recycle office papers.
reheat_frozen_or_chilled_food,Reheat frozen or chilled food.
remove_a_broken_light_bulb,Remove a broken light bulb.
remove_a_wall_mirror,Remove a wall mirror.
remove_hard_water_spots,Remove hard water spots.
remove_scorch_marks,Remove scorch marks.
remove_sod,Remove sod.
remove_spots_from_linen,Remove spots from linen.
removing_ice_from_walkways,Remove ice from walkways.
removing_lint_from_dryer,Remove lint from dryer.
repairs_to_furniture,Repair to furniture.
returning_consumer_goods,Return consumer goods.
returning_videotapes_to_store,Return videotapes to store.
rinsing_dishes,Rinse dishes.
roast_meat,Roast meat.
roast_nuts,Roast nuts.
roast_vegetables,Roast vegetables.
sanding_wood_furniture,Sand wood furniture.
saute_vegetables,Saute vegetables.
scraping_snow_off_vehicle,Scrape snow off the vehicle.
scrubbing_bathroom_floor,Scrub bathroom floor.
selling_products_at_flea_market,Sell products at flea market.
sending_packages,Send packages.
serving_food_at_a_homeless_shelter,Serve food at a homeless shelter.
serving_food_on_the_table,Serve food on the table.
serving_hors_d_oeuvres,Serve hors d'oeuvres.
set_a_dinner_table,Set a dinner table.
set_a_fancy_table,Set a fancy table.
set_a_table_for_a_tea_party,Set a table for a tea party.
set_up_a_bird_cage,Set up a bird cage.
set_up_a_buffet,Set up a buffet.
set_up_a_coffee_station_in_your_kitchen,Set up a coffee station in your kitchen.
set_up_a_guinea_pig_cage,Set up a guinea pig cage.
set_up_a_home_office_in_your_garage,Set up a home office in your garage.
set_up_a_hot_dog_bar,Set up a hot dog bar.
set_up_a_mouse_cage,Set up a mouse cage.
set_up_a_preschool_classroom,Set up a preschool classroom.
set_up_a_webcam,Set up a webcam.
setting_mousetraps,Set mousetraps.
setting_table_for_coffee,Set the table for coffee.
setting_the_fire,Set the fire.
setting_the_table,Set the table.
setting_up_bedroom_for_guest,Set up bedroom for guest.
setting_up_for_an_event,Set up for an event.
setting_up_garden_furniture,Set up garden furniture.
setting_up_living_room_for_guest,Set up living room for guest.
setting_up_room_for_a_movie,Set up room for a movie.
setting_up_room_for_games,Set up room for games.
setting_up_silent_auction,Set up silent auction.
setting_up_toy_train_track,Set up toy train track.
setup_a_baby_crib,Set up a baby crib.
setup_a_bar_for_a_cocktail_party,Set up a bar for a cocktail party.
setup_a_fish_tank,Set up a fish tank.
setup_a_garden_party,Set up a garden party.
setup_a_trampoline,Set up a trampoline.
shampooing_carpet,Shampoo carpet.
shopping_at_warehouse_stores,Shop at warehouse stores.
shoveling_coal,Shovel coal.
shoveling_snow,Shovel snow.
slicing_vegetables,Slice vegetables.
sorting_art_supplies,Sort art supplies.
sorting_books_on_shelf,Sort books on shelf.
sorting_bottles_cans_and_paper,"Sort bottles, cans, and paper."
sorting_clothes,Sort clothes.
sorting_clothing,Sort clothing.
sorting_household_items,Sort household items.
sorting_items_for_garage_sale,Sort items for garage sale.
sorting_laundry,Sort laundry.
sorting_mail,Sort mail.
sorting_newspapers_for_recycling,Sort newspapers for recycling.
sorting_potatoes,Sort potatoes.
sorting_vegetables,Sort vegetables.
sorting_volunteer_materials,Sort volunteer materials.
spray_stucco,Spray stucco.
spraying_for_bugs,Spray for bugs.
spraying_fruit_trees,Spray fruit trees.
spring_clean_your_skateboard,Spring-clean your skateboard.
stacking_wood,Stack wood.
staining_wood_furniture,Stain wood furniture.
stash_snacks_in_your_room,Stash snacks in your room.
stock_a_bar,Stock a bar.
stock_a_bar_cart,Stock a bar cart.
stock_grocery_shelves,Stock grocery shelves.
store_a_fur_coat,Store a fur coat.
store_a_kayak,Store a kayak.
store_a_quilt,Store a quilt.
store_an_uncooked_turkey,Store an uncooked turkey.
store_baby_clothes,Store baby clothes.
store_baking_soda,Store baking soda.
store_batteries,Store batteries.
store_beer,Store beer.
store_bobby_pins,Store bobby pins.
store_brownies,Store brownies.
store_christmas_lights,Store christmas lights.
store_coffee_beans_or_ground_coffee,Store coffee beans or ground coffee.
store_daffodil_bulbs,Store daffodil bulbs.
store_feta_cheese,Store feta cheese.
store_firewood,Store firewood.
store_firewood_outdoors,Store firewood outdoors.
store_honey,Store honey.
store_loose_leaf_tea,Store loose leaf tea.
store_nuts,Store nuts.
store_produce,Store produce.
store_rugs,Store rugs.
store_silver_coins,Store silver coins.
store_tulip_bulbs,Store tulip bulbs.
store_vintage_linens,Store vintage linens.
store_vodka,Store vodka.
store_whole_grains,Store whole grains.
store_winter_coats,Store winter coats.
storing_food,Store food.
stripping_furniture,Strip furniture.
sweeping_floors,Sweep floors.
sweeping_garage,Sweep garage.
sweeping_outside_entrance,Sweep outside entrance.
sweeping_patio,Sweep patio.
sweeping_porch,Sweep porch.
sweeping_steps,Sweep steps.
taking_clothes_off_of_the_drying_rack,Take clothes off the drying rack.
taking_clothes_off_the_line,Take clothes off the line.
taking_clothes_out_of_the_dryer,Take clothes out of the dryer.
taking_clothes_out_of_washer,Take clothes out of washer.
taking_down_curtains,Take down curtains.
taking_fish_out_of_freezer,Take fish out of freezer.
taking_trash_outside,Take trash outside.
thaw_frozen_fish,Thaw frozen fish.
thawing_frozen_food,Thaw frozen food.
throwing_out_used_napkins,Throw out used napkins.
tidy_your_garden,Tidy your garden.
tidying_bathroom,Tidy bathroom.
tidying_bedroom,Tidy bedroom.
tidying_living_room,Tidy living room.
tidying_up_wardrobe,Tidy up wardrobe.
toast_buns,Toast buns.
toast_coconut,Toast coconut.
toast_sunflower_seeds,Toast sunflower seeds.
treating_clothes,Treat clothes.
treating_spot,Treat spot.
treating_stains,Treat stains.
turn_off_a_normal_school_calculator,Turn off a normal school calculator.
turning_off_the_hot_tub,Turn off the hot tub.
turning_on_radio,Turn on the radio.
turning_on_the_hot_tub,Turn on the hot tub.
turning_out_all_lights_before_sleep,Turn out all lights before sleep.
unhook_a_fish,Unhook a fish.
unloading_groceries,Unload groceries.
unloading_shopping_from_car,Unload shopping from the car.
unloading_shopping_items,Unload shopping items.
unloading_the_car,Unload the car.
unpacking_car_for_trip,Unpack car for the trip.
unpacking_childs_bag,Unpack child's bag.
unpacking_hobby_equipment,Unpack hobby equipment.
unpacking_moving_van,Unpack moving van.
unpacking_recreational_vehicle_for_trip,Unpack recreational vehicle for the trip.
unpacking_suitcase,Unpack suitcase.
vacuuming_floors,Vacuum floors.
vacuuming_vehicles,Vacuum vehicles.
warm_tortillas,Warm tortillas.
wash_a_backpack,Wash a backpack.
wash_a_baseball_cap,Wash a baseball cap.
wash_a_bra,Wash a bra.
wash_a_leotard,Wash a leotard.
wash_a_motorcycle,Wash a motorcycle.
wash_a_wool_coat,Wash a wool coat.
wash_an_infant_car_seat,Wash an infant car seat.
wash_baby_bottles,Wash baby bottles.
wash_delicates_in_the_laundry,Wash delicates in the laundry.
wash_dog_toys,Wash dog toys.
wash_duvets,Wash duvets.
wash_fruit_and_vegetables,Wash fruit and vegetables.
wash_goalkeeper_gloves,Wash goalkeeper gloves.
wash_grapes,Wash grapes.
wash_jeans,Wash jeans.
wash_lettuce,Wash lettuce.
wash_towels,Wash towels.
wash_your_bike,Wash your bike.
wash_your_rings,Wash your rings.
washing_bowls,Wash bowls.
washing_curtains,Wash curtains.
washing_fabrics,Wash fabrics.
washing_floor,Wash floor.
washing_outside_walls,Wash outside walls.
washing_outside_windows,Wash outside windows.
washing_plates,Wash plates.
washing_pots_and_pans,Wash pots and pans.
washing_utensils,Wash utensils.
washing_vegetables,Wash vegetables.
washing_walls,Wash walls.
washing_windows,Wash windows.
water_your_lawn_efficiently,Water your lawn efficiently.
watering_indoor_flowers,Water indoor flowers.
watering_outdoor_flowers,Water outdoor flowers.
watering_outdoor_plants,Water outdoor plants.
waxing_floors,Wax floors.
wrap_silverware,Wrap silverware.
